Código del bien o servicio;Descripción del bien o servicio;Impuesto
4621203000100;Disyuntores, termomagnéticos al vacío, al aire, en aceite o en plástico moldeado, intensidad de corriente inferior o igual a 100 A y tensión inferior o igual a 250 V;13%
4621203000200;Disyuntores guardamotores (interruptor magnetotérmico), para uso agropecuario;13%
4621203009900;Disyuntores, para voltajes no superiores a 1.000 V, n.c.p.;13%
4621204000100;Relés, para una tensión inferior o igual a 60 V;13%
4621204000200;Relevadores de sobrecarga y contactores eléctricos, para voltajes no superiores a 1.000 V;13%
4621204009900;Relés, para voltajes no superiores a 1.000 V, n.c.p.;13%
4621205000100;Interruptores unipolares giratorios o de cadena, para una tensión inferior o igual a 250V;13%
4621205000200;Interruptores unipolares de placa o parche, para una tensión inferior o igual a 250V;13%
4621205000300;Interruptores unipolares accionados a presión, para una tensión inferior o igual a 250V;13%
4621205000400;Interruptores automáticos termoeléctricos (arrancadores) para lámparas o tubos fluorescentes, de voltajes no superiores a 1.000 V;13%
4621205000500;Arrancadores magnéticos, para motores eléctricos, de voltajes no superiores a 1.000 V;13%
4621205000600;Arrancadores magnéticos (llaves magnéticas), de potencia nominal inferior o igual a 200 C.P.;13%
4621205000700;Arrancadores manuales o de voltaje reducido, para aparatos no superiores o igual a 300 C.P.;13%
4621205000800;Arrancadores de motores, para voltajes no superiores a 1.000 V;13%
4621205000900;Arrancadores eléctricos, para voltajes no superiores a 1.000 V, para motor marino;13%
4621205001000;Seccionadores o conmutadores de peso unitario inferior o igual a 2 KG, para voltajes no superiores a 1.000 V;13%
4621205001100;Conmutadores para equipo de riego, para voltajes no superiores a 1.000 V;13%
4621205009900;Interruptores, seccionadores y conmutadores, para voltajes no superiores a 1.000 V, n.c.p.;13%
4621206010000;Portalámparas, para voltajes no superiores a 1.000 V;13%
4621206990100;Tomas de corriente de peso unitario inferior o igual a 2 Kg, para voltajes no superiores a 1.000 V;13%
4621206999900;Clavijas y tomas de corriente (enchufes), para voltajes no superiores a 1.000 V, n.c.p.;13%
4621299010000;Supresores de sobretensión transitoria, para voltajes no superiores a 1.000 V, n.c.p.;13%
4621299020000;Protectores de sobrecarga para motores, para voltajes no superiores a 1.000 V, n.c.p.;13%
4621299030000;Protectores térmicos para motores o para circuitos eléctricos de aparatos acondicionadores de aire, para voltajes no superiores a 1.000 V, n.c.p.;13%
4621299040000;Cajas de conexión, derivación, corte, extremidad o análogas, para voltajes no superiores a 1.000 V, n.c.p.;13%
4621299050000;Bornes de plomo y bronce, para voltajes no superiores a 1.000 V, n.c.p.;13%
4621299060100;Reguladores de tensión de 12 a 36 V;13%
4621299069900;Reguladores de tensión, para voltajes no superiores a 1.000 V, n.c.p.;13%
4621299070100;Terminales de ojo para cables eléctricos, para voltajes no superiores a 1.000 V;13%
4621299070200;Terminales de lagartillo para cables eléctricos, para voltajes no superiores a 1.000 V;13%
4621299079900;Terminales para cables eléctricos, para voltajes no superiores a 1.000 V, n.c.p.;13%
4621299990000;Aparatos eléctricos para empalmar o proteger circuitos eléctricos, para hacer conexiones con o en circuitos eléctricos, para voltajes no superiores a 1.000 V, n.c.p.;13%
4621300000100;Centrales para equipo de riego para una tensión inferior o igual a 1000 V;13%
4621300000200;Conjuntos con soporte o carcasa exterior para aparatos de uso doméstico como centrifugadoras, máquinas para lavar vajillas, lavadoras de ropa o calentadores eléctrico, para voltajes no superiores a 1.000 V;13%
4621300009900;Tableros, consolas, armarios y otras bases, equipadas con aparatos eléctricos para empalmar y aparatos para control eléctrico o distribución de electricidad, para voltajes no superiores o iguales a 1.000 V, n.c.p.;13%
4621400000000;Tableros, consolas, armarios y otras bases, equipadas con aparatos eléctricos para empalmar y aparatos para control eléctrico o distribución de electricidad, para voltajes superiores a 1.000 V;13%
4621500000100;Conectores de fibras ópticas, haces o cables de fibras ópticas, de plástico;13%
4621500000200;Conectores de fibras ópticas, haces o cables de fibras ópticas, de cobre;13%
4621500009900;Conectores de fibras ópticas, haces o cables de fibras ópticas, n.c.p.;13%
4622000000100;Cuadros, paneles, consolas, armarios y demás soportes para aparatos de corte, seccionamiento, protección, derivación, empalme o conexión de circuitos eléctricos, de potencia superior a 1.000 V;13%
4622000000200;Arrancadores magnéticos o llaves magnéticas para protectores de sobrecarga para motores, o para cajas de conexión, derivación, corte, extremidad o análogas, de materiales cerámicos o metálicos, termosensibles;13%
4622000000300;Circuitos modulares;13%
4622000000400;Partes moldeadas para aparatos de control eléctrico;13%
4622000009900;Partes y piezas de aparatos de control eléctrico o distribución de electricidad, n.c.p.;13%
4631000000100;Cable aislado para bobinado, de cobre;13%
4631000009900;Cable aislado para bobinado, n.c.p.;13%
4632000000000;Cable coaxial y otros conductores eléctricos coaxiales;13%
4633000000000;Juegos de cables para encendido y otros juegos de cables del tipo utilizado en vehículos, aeronaves o buques;13%
4634001010100;Conductores eléctricos con pieza de conexión, para una tensión inferior o igual a 80 V, utilizados para telecomunicaciones;13%
4634001019900;Conductores eléctricos con pieza de conexión, para una tensión inferior o igual a 80 V, excepto los utilizados para telecomunicaciones;13%
4634001020100;Hilos, trenzas y cables con pieza de conexión, de cobre o aluminio (con o sin aleación de silicio, magnesio y manganeso), incluso para uso telefónico (excepto los laqueados, esmaltados, oxidados anódicamente, siliconados o con aislamiento a base de asbesto o fibra de vidrio y los telefónicos submarinos);13%
4634001020200;Conductores eléctricos con pieza de conexión, para una tensión superior a 80 V pero inferior o igual 1.000 V, utilizados en telecomunicaciones;13%
4634001029900;Conductores eléctricos con pieza de conexión, para una tensión superior a 80 V pero inferior o igual 1.000 V, excepto los utilizados en telecomunicaciones;13%
4634002010100;Conductores eléctricos sin pieza de conexión, para una tensión inferior o igual a 80 V, utilizados para telecomunicaciones;13%
4634002019900;Conductores eléctricos sin pieza de conexión, para una tensión inferior o igual a 80 V, excepto los utilizados para telecomunicaciones;13%
4634002020100;Hilos, trenzas y cables sin pieza de conexión, de cobre o aluminio (con o sin aleación de silicio, magnesio y manganeso), incluso para uso telefónico (excepto los laqueados, esmaltados, oxidados anódicamente, siliconados o con aislamiento a base de asbesto o fibra de vidrio y los telefónicos submarinos);13%
4634002029900;Conductores eléctricos sin pieza de conexión, para una tensión superior a 80 V pero inferior o igual 1.000 V, n.c.p.;13%
4635000000100;Conductores eléctricos, para voltajes superiores a 1.000 V, con diámetro superior a 0.5 mm2, n.c.p.;13%
4635000009900;Conductores eléctricos, para voltajes superiores a 1.000 V, n.c.p.;13%
4636000000000;Cables de fibras ópticas compuestos de fibras en vainas aislantes separadas;13%
4641001010100;Pilas y baterías de pilas, cilíndricas secas, de dióxido de manganeso, de 1.5 V;13%
4641001010200;Pilas y baterías de pilas, rectangulares, eléctricas, de dióxido de manganeso, de 1.5 V;13%
4641001019900;Pilas y baterías de pilas, de dióxido de manganeso, de 1.5 V, n.c.p.;13%
4641001020100;Pilas y baterías de pilas, cilíndricas, de dióxido de manganeso, superior a 1,5 V;13%
4641001020200;Pilas y baterías de pilas, rectangulares, de dióxido de manganeso, superior a 1,5 V;13%
4641001029900;Pilas y baterías de pilas, de dióxido de manganeso, superior a 1,5 V, n.c.p.;13%
4641002000000;Pilas y baterías de pilas, de óxido de mercurio;13%
4641003000000;Pilas y baterías de pilas, de óxido de plata;13%
4641004000000;Pilas y baterías de pilas, de litio;13%
4641005000000;Pilas y baterías de pilas, de aire-zinc;13%
4641099000000;Pilas y baterías de pilas, n.c.p.;13%
4642001000100;Acumuladores eléctricos, de plomo, de los tipos utilizados para arranque de motores de émbolo (pistón) ;13%
4642001000200;Acumuladores eléctricos, de plomo, del tipo utilizado como fuente de energía para la propulsión de vehículos eléctricos;13%
4642001009900;Acumuladores eléctricos, de plomo, n.c.p.;13%
4642002000000;Acumuladores eléctricos, de níquel-cadmio;13%
4642003000000;Acumuladores eléctricos, de níquel-hierro;13%
4642004000000;Acumuladores eléctricos, de níquel-hidruro metálico;13%
4642005000000;Acumuladores eléctricos, de iones de litio;13%
4642099000000;Acumuladores eléctricos, n.c.p.;13%
4643001000100;Terminales para baterías;13%
4643001009900;Partes y piezas de pilas y baterías de pilas;13%
4643002000100;Separadores para acumuladores eléctricos;13%
4643002000200;Partes y piezas de acumuladores eléctricos de plomo;13%
4643002009900;Partes y piezas de acumuladores eléctricos, n.c.p.;13%
4651001000000;Faros o unidades selladas;13%
4651002010000;Halógenos, de volframio (tungsteno);13%
4651002020100;Bombillas de incandescencia de potencia superior o igual a 15 W e inferior o igual a 200 W;1%
4651002020200;Bombillas de incandescencia de potencia menor a 15 W;1%
4651002020300;Lámparas y tubos de incandescencia de vidrio azul transparente (luz de día), de potencia inferior o igual a 200 W y para una tensión superior a 100 V;13%
4651002020400;Lámparas y tubos de incandescencia de doble bayoneta con peso unitario superior a 120 gr, de potencia inferior o igual a 200 W y para una tensión superior a 100 V;13%
4651002029900;Lámparas y tubos de incandescencia, de potencia inferior o igual a 200 W y para una tensión superior a 100 V, n.c.p.;13%
4651002990000;Lámparas y tubos de incandescencia, n.c.p.;13%
4651003010100;Tubos rectos, de potencia superior o igual a 14W pero inferior o igual a 215 W ;13%
4651003010200;Fluorescentes, de cátodo caliente con ahorro de energía;13%
4651003019900;Fluorescentes de cátodo caliente, n.c.p.;13%
4651003020000;Lámparas de vapor de mercurio o sodio;13%
4651003030000;Lámparas de halogenuro metálico;13%
4651003990000;Lámparas y tubos de descarga, excepto los de rayos ultravioletas, n.c.p.;13%
4651004000000;Lámparas y tubos de rayos ultravioletas o infrarrojos;13%
4651005000000;Lámparas de arco;13%
4651006000000;Lámparas y tubos de diodos emisores de luz (LED);13%
4653101000100;Lámparas fluorescentes circulares de 120 voltios, de potencia superior o igual a 22 W, pero inferior o igual a 32 W;13%
4653101000200;Lámparas o aparatos eléctricos de techo y de pared para alumbrado que funcionen con disipador de calor, convertidor de corriente alterna a corriente directa y exclusivamente con luminarias a base de diodos emisores de luz (LED) incorporados de manera inseparable;13%
4653101009900;Lámparas o aparatos eléctricos de techo y de pared para alumbrado (excepto los utilizados para alumbrar espacios públicos y vías públicas), n.c.p.;13%
4653102000000;Lámparas eléctricas portátiles diseñadas para funcionar con su propia fuente de energía (excepto lámparas eléctricas para bicicletas, motocicletas o vehículos automotores);13%
4653103000000;Lámparas eléctricas de mesa, de escritorio, para mesa de noche o de pie;13%
4653104010000;Lámparas y accesorios no eléctricos para alumbrado, de metal común;13%
4653104990000;Lámparas y accesorios no eléctricos para alumbrado, n.c.p.;13%
4653105000000;Señales iluminadas, letreros luminosos y similares;13%
4653200000000;Juegos de luces del tipo usado para árboles de Navidad;13%
4653900000100;Aparatos eléctricos para alumbrado con lámparas de vapor de mercurio o sodio (incluso los utilizados para alumbrar espacios públicos y vías públicas);13%
4653900000200;Aparatos eléctricos para alumbrado que funcionen con disipador de calor, convertidor de corriente alterna a corriente directa y exclusivamente con luminarias a base de diodos emisores de luz (LED) incorporados de manera inseparable (incluso los utilizados para alumbrar espacios públicos y vías públicas);13%
